Frame,Time,M Gaze,P1 Gaze,P2 Gaze,M ASR,P1 ASR,P2 ASR,
224,4.48,P2,P2,M,,,,
225,4.5,P2,P2,M,,,,
226,4.52,P2,P2,M,,,,
227,4.54,P2,P2,M,,,,
228,4.56,P2,P2,M,,,,
229,4.58,P2,P2,M,,,,
230,4.6,P2,,M,,,,
231,4.62,P2,,M,,,,
232,4.64,P2,,M,,,,
233,4.66,P2,,M,,,,
234,4.68,P2,,M,,,,
235,4.7,P2,,M,,,,
236,4.72,P2,,M,,,,
237,4.74,P2,,M,,,,
238,4.76,P2,,M,,,,
239,4.78,P2,,M,,,,
240,4.8,P2,,M,,,,
241,4.82,P2,,M,,,,
242,4.84,P2,,M,,,,
243,4.86,P2,,M,,,,
244,4.88,P2,,M,,,,
245,4.9,P2,,M,,,,
246,4.92,P2,,M,,,,
247,4.94,P2,,M,,,,
248,4.96,P2,,M,,,,
249,4.98,P2,,M,,,,
250,5,P2,,M,,,,
251,5.02,P2,,M,,,,
252,5.04,P2,,M,,,,
253,5.06,P2,,M,,,,
254,5.08,P2,,M,,,,
255,5.1,P2,,M,,,,
256,5.12,P2,,M,,,,
257,5.14,P2,,M,,,,
258,5.16,P2,,M,,,,
259,5.18,P2,,M,,,,
260,5.2,P2,,M,,,,
261,5.22,P2,,M,,,,
262,5.24,P2,,M,,,,
263,5.26,P2,,M,,,,
264,5.28,P2,,M,,,,
265,5.3,P2,,M,,,,
266,5.32,P2,,M,,,,
267,5.34,P2,P2,M,,,,
268,5.36,,P2,M,,,,
269,5.38,,P2,M,,,,
270,5.4,,P2,M,,,,
271,5.42,,P2,M,,,,
272,5.44,,P2,M,,,,
273,5.46,,P2,M,,,,
274,5.48,,P2,M,,,,
275,5.5,,P2,M,,,,
276,5.52,,P2,M,,,,
277,5.54,,P2,M,,,,
278,5.56,,P2,M,,,,
279,5.58,,P2,M,,,,
280,5.6,,P2,M,,,,
281,5.62,,P2,M,,,,
282,5.64,,P2,M,,,,
283,5.66,,P2,M,,,,
284,5.68,,P2,M,,,,
285,5.7,P2,P2,M,,,,
286,5.72,P2,P2,M,,,,
287,5.74,P2,P2,M,,,,
288,5.76,P2,P2,M,,,,
289,5.78,P2,P2,M,,,,
290,5.8,P2,P2,M,,,,
291,5.82,P2,P2,M,,,,
292,5.84,P2,P2,M,,,,
293,5.86,P2,P2,M,,,,
294,5.88,P2,P2,M,,,,
295,5.9,P2,P2,M,,,,
296,5.92,P2,P2,M,,,,
297,5.94,P2,P2,M,,,,
298,5.96,P2,P2,M,,,,
299,5.98,P2,P2,M,,,,
300,6,P2,P2,M,,,,
301,6.02,P2,P2,M,,,,
302,6.04,P2,P2,M,,,,
303,6.06,P2,,M,,,,
304,6.08,P2,,M,,,,
305,6.1,P2,,M,,,,
306,6.12,P2,,M,,,,
307,6.14,P2,,M,,,,
308,6.16,P2,,M,,,,
309,6.18,P2,,M,,,,
310,6.2,P2,,M,,,,
311,6.22,P2,,M,,,,
312,6.24,P2,,M,,,,
313,6.26,P2,,M,,,,
314,6.28,P2,,M,,,,
315,6.3,P2,,M,,,,
316,6.32,P2,,M,,,,
317,6.34,P2,,M,,,,
318,6.36,P2,,M,,,,
319,6.38,P2,,M,,,,
320,6.4,P2,,M,,,,
321,6.42,P2,,M,,,,
322,6.44,P2,,M,,,,
323,6.46,,,M,,,,
324,6.48,,,M,,,,
325,6.5,,,M,,,,
326,6.52,,,M,,,,
327,6.54,,,M,,,,
328,6.56,,,M,,,,
329,6.58,,,M,,,,
330,6.6,,,M,,,,
331,6.62,,,M,,,,
332,6.64,,,M,,,,
333,6.66,,,M,,,,
334,6.68,,,M,,,,
335,6.7,,,M,,,,
336,6.72,,,M,,,,
337,6.74,,,M,,,,
338,6.76,,,M,,,,
339,6.78,,,M,,,,
340,6.8,,,M,,,,
341,6.82,,,M,,,,
342,6.84,,,M,,,,
343,6.86,,,M,,,,
344,6.88,,,M,,,,
345,6.9,,,M,,,,
346,6.92,,,M,,,,
