1;L;P1G;P2G;P1H
Furhat;1;0;0;0
P1;0;0;0;0
P2;0;0;0;0
T1;0;0;0;0
T2;0;0;0;0
T3;0;0;0;0
T4;0;0;0;0
T5;1;0;0;0
Tab1;0;0;0;0
Tab2;1;0;0;0
1;L;P1G;P2G;P1H
Furhat;1;0;0;0
P1;0;0;0;0
P2;0;0;0;0
T1;0;0;0;0
T2;0;0;0;0
T3;0;0;0;0
T4;0;0;0;0
T5;1;0;0;0
Tab1;0;0;0;0
Tab2;1;0;0;0
1;L;P1G;P2G;P1H
Furhat;1;0;0;0
P1;0;0;0;0
P2;0;0;0;0
T1;0;0;0;0
T2;0;0;0;0
T3;0;0;0;0
T4;0;0;0;0
T5;1;0;0;0
Tab1;0;0;0;0
Tab2;1;0;0;0
